gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
0,50,1,2,4,3,1,3,2,2,3,3,2,3,3,3,1,3,3,3,3,3,5,1
0,44,0,2,4,1,2,4,1,2,3,5,2,3,3,3.25,1,4,3,3,3,3,2,2
0,42,1,2,5,1,5,4,1,2,3,4,2,3,4,4.5,1,5,2,3,2.75,4,3,0
0,28,1,2,4,1,4,3,1,2,3,1,2,4,5,2,1,5,3,4,3.5,5,10,0
1,41,0,2,4,1,2,3,1,2,3,1,2,4,4,1.75,0,3,4,4,3.25,4,8,8
1,22,1,1,5,4,2,3,1,2,3,2,2,5,5,3,1,3,5,5,5,5,4,4
1,32,1,2,5,1,4,4,1,2,3,3,2,3,3,3.75,1,2,3,4,3.5,4,8,2
0,41,1,2,4,2,5,4,2,2,3,3,2,4,4,2.5,1,3,3,3,3.25,4,3,2
0,40,1,2,5,1,5,4,1,1,3,4,2,4,4,2.5,0,3,2,2,1,3,10,0
1,40,1,2,4,1,3,4,1,2,2,2,3,5,4,2.5,0,3,3,2,3,5,8,0
0,36,1,2,5,1,5,4,1,2,2,2,2,3,3,3.75,1,4,3,2,3.25,4,8,2
1,50,1,2,5,1,5,4,1,2,2,3,2,4,4,2,0,2,4,3,3.5,4,7,0
1,30,1,2,4,1,2,5,1,2,1,5,3,5,5,1,1,5,5,5,4,5,0,0
0,46,1,2,4,1,3,4,1,2,3,2,2,4,4,2,0,4,4,4,4,4,6,2
0,60,0,2,2,3,1,3,3,2,5,1,2,5,4,1,0,4,5,4,4.25,5,0,2
1,47,0,2,3,2,2,4,1,1,3,4,3,4,4,2.75,1,3,3,3,2.75,4,8,1
1,40,1,2,4,1,3,4,1,2,2,2,2,4,4,3,0,4,3,3,3.75,4,8,2
1,49,1,2,3,2,4,5,1,2,3,4,2,3,3,3.75,0,1,2,1,3.75,3,10,0
0,48,1,2,4,1,4,4,1,2,3,2,2,3,3,3.25,1,4,3,3,3,3,1,1
1,45,0,2,2,2,1,3,2,2,3,4,2,4,3,2,0,2,3,4,2,5,10,0
1,41,0,2,2,2,3,4,1,1,3,3,1,3,3,2.25,0,1,3,3,3,3,2,2
1,50,1,2,3,2,3,3,1,2,3,4,2,4,4,1.75,0,3,3,3,3.25,4,2,2
0,46,1,2,4,1,3,3,1,2,3,4,2,2,3,2.5,0,2,3,3,4,4,9,8
0,25,1,1,4,1,3,2,1,2,4,4,2,3,3,3.5,1,3,2,1,2,3,1,5
0,44,1,2,3,2,1,3,2,2,4,4,2,3,3,3.25,1,3,3,3,3,3,1,1
0,40,1,2,4,1,2,5,1,2,3,4,2,3,3,3,0,3,3,3,3,3,10,0
0,53,0,2,3,3,1,3,2,2,2,1,1,5,4,2,0,3,3,5,2.5,5,0,0
1,54,0,2,2,3,1,3,3,2,4,4,2,3,4,1.5,1,4,3,2,3,4,0,2
0,66,1,2,3,5,3,3,2,2,2,2,2,4,3,3.25,0,4,4,4,2.5,3,0,0
0,48,1,3,3,2,2,5,1,2,3,4,2,3,3,2.75,0,1,1,1,2,3,0,4
0,50,1,2,4,1,4,3,3,2,3,3,2,4,4,2,1,4,3,3,3.5,4,6,1
0,47,1,2,4,1,3,4,1,2,2,4,2,4,4,1.5,1,3,3,3,3,4,0,0
1,54,1,2,3,1,3,4,1,2,1,1,3,4,3,2.25,0,2,3,3,3,4,4,2
1,66,1,2,4,5,2,2,3,2,1,1,2,4,3,1,0,1,3,3,3,3,9,7
1,30,0,2,2,2,1,5,1,2,1,5,2,5,5,2,0,5,5,5,4,5,0,0
1,42,1,2,4,1,4,4,1,2,3,2,2,4,4,2.25,0,3,4,3,3.25,4,1,1
0,42,1,2,5,1,5,4,1,2,2,2,2,2,2,3.75,0,4,3,3,2.5,4,9,5
1,55,1,2,3,1,1,3,1,2,3,4,2,3,3,2.5,0,1,1,3,2,3,4,3
0,41,0,2,3,2,2,3,1,2,3,5,1,4,4,2.25,1,4,4,4,3.5,4,0,0
1,54,1,2,3,1,1,3,3,2,3,3,2,3,3,3,0,3,3,3,2.5,3,1,1
0,62,1,2,3,5,3,3,2,2,3,3,2,4,4,2.25,0,3,3,4,2.75,3,2,8
0,50,1,2,5,1,4,4,1,2,3,4,2,5,5,2.75,0,4,4,4,3.25,4,0,2
0,48,1,2,4,1,5,4,2,1,3,3,2,4,4,3,1,5,3,4,2.75,3,10,0
0,28,1,2,2,1,2,5,1,2,4,4,2,4,4,2,0,4,4,4,2,4,10,2
1,29,1,1,4,1,3,4,1,2,4,4,2,5,5,1.5,0,4,5,5,4.25,4,10,5
0,40,1,2,4,1,5,3,1,2,4,4,2,3,3,3.5,1,5,3,3,3.5,3,6,0
0,38,1,2,4,1,4,3,2,2,3,4,2,3,3,3,0,3,3,3,2.5,3,2,2
0,29,1,2,4,1,1,4,1,2,4,5,2,5,4,3,1,5,3,5,2.75,5,0,2
1,74,1,2,4,5,3,3,3,2,4,2,2,4,4,2.5,1,2,3,3,2.75,3,0,0
1,53,1,2,4,1,5,3,3,2,3,4,2,4,4,2.75,1,3,3,4,3,4,6,3
0,49,0,2,4,1,1,3,2,2,5,5,2,4,4,2.5,1,4,4,4,3,4,0,1
